kB,kM,kA,q,w,k_total,rule_ensemble,mutation_rate,initial_mode,n_initial_states,source_for_liveness,s1_shared_classes,s2_shared_classes,s1_residual_qcoords,s2_residual_qcoords,s1_edge_density,s2_edge_density,H_source_bits,H_s1_bits,H_s2_bits,transport_mi_bits,transport_mi_over_Hs1,transport_mi_over_Hs2,source_to_s1_mi_bits,source_to_s2_mi_bits,source_to_s1_mi_over_Hs1,source_to_s2_mi_over_Hs2,s1_to_s2_best_accuracy,s2_to_s1_best_accuracy,s1_s2_variation_of_information_norm,transport_selected,live_transport_selected,seed,instance
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9996560224513478,1.9996560224513478,1.9996560224513478,1.9996560224513478,1.0,1.0,1.9996560224513478,1.9996560224513478,1.0,1.0,1.0,1.0,0.0,True,True,2216776,6
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.999825471901552,1.999825471901552,1.999825471901552,1.999825471901552,1.0,1.0,1.999825471901552,1.999825471901552,1.0,1.0,1.0,1.0,0.0,True,True,2216777,7
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9998008405738616,1.9998008405738616,1.9998008405738616,1.9998008405738616,1.0,1.0,1.9998008405738616,1.9998008405738616,1.0,1.0,1.0,1.0,0.0,True,True,2216778,8
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9999516220182891,1.9999516220182891,1.9999516220182891,1.9999516220182891,1.0,1.0,1.9999516220182891,1.9999516220182891,1.0,1.0,1.0,1.0,0.0,True,True,2216779,9
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9981563926556618,1.9981563926556618,1.9981563926556618,1.9981563926556618,1.0,1.0,1.9981563926556618,1.9981563926556618,1.0,1.0,1.0,1.0,0.0,True,True,2216780,10
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.999542944220757,1.999542944220757,1.999542944220757,1.999542944220757,1.0,1.0,1.999542944220757,1.999542944220757,1.0,1.0,1.0,1.0,0.0,True,True,2216781,11
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9997568929753844,1.9997568929753844,1.9997568929753844,1.9997568929753844,1.0,1.0,1.9997568929753844,1.9997568929753844,1.0,1.0,1.0,1.0,0.0,True,True,2216782,12
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9994640883738877,1.9994640883738877,1.9994640883738877,1.9994640883738877,1.0,1.0,1.9994640883738877,1.9994640883738877,1.0,1.0,1.0,1.0,0.0,True,True,2216783,13
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.998340937184914,1.998340937184914,1.998340937184914,1.998340937184914,1.0,1.0,1.998340937184914,1.998340937184914,1.0,1.0,1.0,1.0,0.0,True,True,2216784,14
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9997283650357376,1.9997283650357376,1.9997283650357376,1.9997283650357376,1.0,1.0,1.9997283650357376,1.9997283650357376,1.0,1.0,1.0,1.0,0.0,True,True,2216785,15
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.999604585320212,1.999604585320212,1.999604585320212,1.999604585320212,1.0,1.0,1.999604585320212,1.999604585320212,1.0,1.0,1.0,1.0,0.0,True,True,2216786,16
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9997541546631565,1.9997541546631565,1.9997541546631565,1.9997541546631565,1.0,1.0,1.9997541546631565,1.9997541546631565,1.0,1.0,1.0,1.0,0.0,True,True,2216787,17
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9994100652759879,1.9994100652759879,1.9994100652759879,1.9994100652759879,1.0,1.0,1.9994100652759879,1.9994100652759879,1.0,1.0,1.0,1.0,0.0,True,True,2216788,18
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9998820033977984,1.9998820033977984,1.9998820033977984,1.9998820033977984,1.0,1.0,1.9998820033977984,1.9998820033977984,1.0,1.0,1.0,1.0,0.0,True,True,2216789,19
