Lx,Ly,mode,p,n_lattices,loop_w,loop_h,area,perimeter,n_loops,mean_W,abs_mean_W,frac_negative,seed
12,12,empirical_plaquette,0.8476690741956664,500,2,1,2,6,66000,0.479,0.479,0.2605,2738670
12,12,empirical_plaquette,0.8476690741956664,500,2,2,4,8,60500,0.2314710743801653,0.2314710743801653,0.38426446280991733,2738670
12,12,empirical_plaquette,0.8476690741956664,500,2,3,6,10,55000,0.10876363636363637,0.10876363636363637,0.4456181818181818,2738670
12,12,empirical_plaquette,0.8476690741956664,500,2,4,8,12,49500,0.05208080808080808,0.05208080808080808,0.47395959595959597,2738670
12,12,empirical_plaquette,0.8476690741956664,500,2,5,10,14,44000,0.032318181818181815,0.032318181818181815,0.4838409090909091,2738670
12,12,empirical_plaquette,0.8476690741956664,500,3,1,3,8,60000,-0.3289,0.3289,0.66445,2738670
12,12,empirical_plaquette,0.8476690741956664,500,3,2,6,10,55000,0.11007272727272727,0.11007272727272727,0.44496363636363634,2738670
12,12,empirical_plaquette,0.8476690741956664,500,3,3,9,12,50000,-0.03372,0.03372,0.51686,2738670
12,12,empirical_plaquette,0.8476690741956664,500,3,4,12,14,45000,0.010933333333333333,0.010933333333333333,0.4945333333333333,2738670
12,12,empirical_plaquette,0.8476690741956664,500,3,5,15,16,40000,-0.0056,0.0056,0.5028,2738670
12,12,empirical_plaquette,0.8476690741956664,500,4,1,4,10,54000,0.22192592592592592,0.22192592592592592,0.389037037037037,2738670
12,12,empirical_plaquette,0.8476690741956664,500,4,2,8,12,49500,0.04856565656565657,0.04856565656565657,0.4757171717171717,2738670
12,12,empirical_plaquette,0.8476690741956664,500,4,3,12,14,45000,0.003822222222222222,0.003822222222222222,0.4980888888888889,2738670
12,12,empirical_plaquette,0.8476690741956664,500,4,4,16,16,40500,0.005135802469135802,0.005135802469135802,0.4974320987654321,2738670
12,12,empirical_plaquette,0.8476690741956664,500,4,5,20,18,36000,-0.003,0.003,0.5015,2738670
12,12,empirical_plaquette,0.8476690741956664,500,5,1,5,12,48000,-0.150125,0.150125,0.5750625,2738670
12,12,empirical_plaquette,0.8476690741956664,500,5,2,10,14,44000,0.021863636363636363,0.021863636363636363,0.4890681818181818,2738670
12,12,empirical_plaquette,0.8476690741956664,500,5,3,15,16,40000,-0.0024,0.0024,0.5012,2738670
12,12,empirical_plaquette,0.8476690741956664,500,5,4,20,18,36000,0.006555555555555556,0.006555555555555556,0.49672222222222223,2738670
12,12,empirical_plaquette,0.8476690741956664,500,5,5,25,20,32000,0.0058125,0.0058125,0.49709375,2738670
