k,q,w,ratio,n_rec,n_img,qk,one_over_e_ref,part_surv_full_count,part_surv_image_count,orbit_dim_image,orbit_dim_recurrent,R_active,R_passive_h1,R_passive_h2,ensemble,density,instance,seed,R_active_classes
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,37,37,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,38,38,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,39,39,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,40,40,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,41,41,
2,2,1,0.5,4,4,4,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,cycle,0,42,42,4.0
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,43,43,
2,2,1,0.5,2,2,4,0.25,0.5,0.5,0.5,0.5,1.0,1.0,1.0,cycle,0,44,44,2.0
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,45,45,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,46,46,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,47,47,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,48,48,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,49,49,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,50,50,
2,2,1,0.5,4,4,4,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,cycle,0,51,51,4.0
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,52,52,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,53,53,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,54,54,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,55,55,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,56,56,
2,2,1,0.5,4,4,4,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,cycle,0,57,57,4.0
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,58,58,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,59,59,
2,4,1,0.5,6,6,16,0.31640625,0.5,0.3333333333333333,0.646240625180289,0.646240625180289,1.0,1.0,1.0,cycle,0,0,10007,6.0
2,4,1,0.5,4,6,16,0.31640625,0.5,0.3333333333333333,0.646240625180289,0.5,1.0,1.0,1.0,cycle,0,1,10008,4.0
2,4,1,0.5,2,4,16,0.31640625,0.5,0.3333333333333333,0.5,0.25,1.0,1.0,1.0,cycle,0,2,10009,2.0
2,4,1,0.5,2,3,16,0.31640625,0.625,0.41666666666666663,0.3962406251802891,0.25,1.0,1.0,1.0,cycle,0,3,10010,2.0
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,4,10011,
2,4,1,0.5,2,4,16,0.31640625,0.5,0.3333333333333333,0.5,0.25,1.0,1.0,1.0,cycle,0,5,10012,2.0
2,4,1,0.5,4,4,16,0.31640625,0.75,0.5,0.5,0.5,1.0,1.0,1.0,cycle,0,6,10013,4.0
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,7,10014,
2,4,1,0.5,4,4,16,0.31640625,0.75,0.5,0.5,0.5,1.0,1.0,1.0,cycle,0,8,10015,4.0
2,4,1,0.5,2,4,16,0.31640625,0.5,0.3333333333333333,0.5,0.25,1.0,1.0,1.0,cycle,0,9,10016,2.0
2,4,1,0.5,1,5,16,0.31640625,0.5,0.3333333333333333,0.5804820237218405,0.0,,,,cycle,0,10,10017,
2,4,1,0.5,2,3,16,0.31640625,0.625,0.41666666666666663,0.3962406251802891,0.25,1.0,1.0,1.0,cycle,0,11,10018,2.0
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,12,10019,
2,4,1,0.5,4,6,16,0.31640625,0.5,0.3333333333333333,0.646240625180289,0.5,1.0,1.0,1.0,cycle,0,13,10020,4.0
2,4,1,0.5,2,4,16,0.31640625,0.5,0.3333333333333333,0.5,0.25,1.0,1.0,1.0,cycle,0,14,10021,2.0
2,4,1,0.5,4,5,16,0.31640625,0.625,0.41666666666666663,0.5804820237218405,0.5,1.0,1.0,1.0,cycle,0,15,10022,4.0
2,4,1,0.5,4,4,16,0.31640625,0.75,0.5,0.5,0.5,1.0,1.0,1.0,cycle,0,16,10023,4.0
2,4,1,0.5,5,6,16,0.31640625,0.375,0.29166666666666663,0.646240625180289,0.5804820237218405,1.0,1.0,1.0,cycle,0,17,10024,5.0
2,4,1,0.5,5,5,16,0.31640625,0.5,0.3333333333333333,0.5804820237218405,0.5804820237218405,1.0,1.0,1.0,cycle,0,18,10025,5.0
2,4,1,0.5,4,6,16,0.31640625,0.5,0.375,0.646240625180289,0.5,1.0,1.0,1.0,cycle,0,19,10026,4.0
