graph_id,cycle_id,length,observers,min_edge_mi_bits,mean_edge_mi_bits,product_edge_score,live_cycle,edge_pairs
18,0,3,0 5 6,0.1525348164511775,0.4208692938685699,0.04699072250481561,1,0-5 5-6 0-6
18,1,3,2 3 5,0.07606808594222914,0.17015084697795504,0.002201469291461748,1,2-3 3-5 2-5
18,2,3,2 3 9,0.06739376466185876,0.3653797191413095,0.00524174540988836,1,2-3 3-9 2-9
18,3,3,2 5 9,0.06739376466185876,0.09288362304595547,0.0006930484883949024,1,2-5 5-9 2-9
18,4,3,3 5 9,0.13518901853377852,0.4779946530763925,0.04507213279854711,1,3-5 5-9 3-9
18,5,3,4 5 7,0.028860064214087267,0.05240583252759053,8.518118258909223e-05,0,4-5 5-7 4-7
18,6,3,4 5 9,0.013999038994851887,0.05934937391423922,5.461814316008481e-05,0,4-5 5-9 4-9
18,7,3,5 6 7,0.09834570827283073,0.5836268415746694,0.015001144560157284,1,5-6 6-7 5-7
18,8,4,0 5 7 6,0.09834570827283073,0.6771046933568408,0.030296924954620504,1,0-5 5-7 6-7 0-6
18,9,4,2 3 5 9,0.06739376466185876,0.15924180954681832,0.0002636764090279548,1,2-3 3-5 5-9 2-9
18,10,4,2 3 9 5,0.07606808594222914,0.31000062430951936,0.0007998344577965719,1,2-3 3-9 5-9 2-5
18,11,4,2 5 3 9,0.06739376466185876,0.3605641978248717,0.0017091843188075206,1,2-5 3-5 3-9 2-9
18,12,4,2 5 4 9,0.013999038994851887,0.04658023845325676,2.0711794187518547e-06,0,2-5 4-5 4-9 2-9
18,13,4,3 5 4 9,0.013999038994851887,0.3354135109760845,0.00013469832973419388,0,3-5 4-5 4-9 3-9
18,14,4,4 5 6 7,0.028860064214087267,0.4278516514402796,0.00013211655373182083,0,4-5 5-6 6-7 4-7
18,15,4,4 7 5 9,0.013999038994851887,0.06938637272432868,5.5858080874656514e-06,0,4-7 5-7 5-9 4-9
18,16,5,0 5 4 7 6,0.028860064214087267,0.5337889708928947,0.00026682799419900364,0,0-5 4-5 4-7 6-7 0-6
18,17,5,2 3 5 4 9,0.013999038994851887,0.10892746457248678,7.879984744702497e-07,0,2-3 3-5 4-5 4-9 2-9
18,18,5,2 3 9 4 5,0.013999038994851887,0.2295345163826476,2.3903099063580518e-06,0,2-3 3-9 4-9 4-5 2-5
