q,rows,cols,n_links,n_plaquettes,rule_ensemble,mutation_rate,closed_scc,n_scc,link_schedule_consistency,flux_schedule_consistency,quotient_determinism_accuracy,quotient_determinism_exact,link_bit_entropy_bits,link_bit_entropy_norm,quotient_transition_mi_bits,quotient_transition_mi_norm,plaquette_flux_entropy_bits,initial_flux_entropy_bits,recurrent_flux_entropy_bits,recurrent_flux_fixed_fraction,mean_nontrivial_flux_fraction,partition_index,partition,quotient_score,closed_c2_quotient,recurrent_flux_nontrivial,closed_medium_candidate,seed,instance,mode
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.957436404387499,0.9946795505484374,7.957436404387499,1.0,2.9990768567327377,2.9990768567327377,2.9978829420167576,1.0,0.49462890625,4,0101,0.9989359101096875,True,True,True,55006,32,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.96137470183137,0.9951718377289213,7.96137470183137,1.0,2.999691949829984,2.999691949829984,2.9925714236722336,1.0,0.5028076171875,5,0011,0.9990343675457843,True,True,True,55007,33,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.955752094802504,0.994469011850313,7.955752094802504,1.0,2.998789375132799,2.998789375132799,2.984966442603837,1.0,0.500732421875,2,0110,0.9988938023700626,True,True,True,55008,34,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.960423961031119,0.9950529951288899,7.960423961031119,1.0,2.9989757712578893,2.9989757712578893,2.993746310112078,1.0,0.5074462890625,2,0110,0.999010599025778,True,True,True,55009,35,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.959414459650821,0.9949268074563526,7.959414459650821,1.0,2.999090575328722,2.999090575328722,2.9937647471052315,1.0,0.500244140625,5,0011,0.9989853614912706,True,True,True,55010,36,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.954877856117546,0.9943597320146933,7.954877856117546,1.0,2.9979738799800524,2.9979738799800524,2.992649514668014,1.0,0.507568359375,4,0101,0.9988719464029387,True,True,True,55011,37,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.958883082488969,0.9948603853111211,7.958883082488969,1.0,2.999397622769134,2.999397622769134,2.992196588788215,1.0,0.500244140625,5,0011,0.9989720770622242,True,True,True,55012,38,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.959523449654206,0.9949404312067758,7.959523449654206,1.0,2.9990533273520783,2.9990533273520783,2.991590453920287,1.0,0.4998779296875,4,0101,0.9989880862413552,True,True,True,55013,39,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.962135288228769,0.9952669110285961,7.962135288228769,1.0,2.9975353474000093,2.9975353474000093,2.9872813671145533,1.0,0.4930419921875,4,0101,0.9990533822057193,True,True,True,55014,40,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.963157936527187,0.9953947420658984,7.963157936527187,1.0,2.998636936834675,2.998636936834675,2.9823024771769724,1.0,0.49755859375,4,0101,0.9990789484131797,True,True,True,55015,41,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.959552552433573,0.9949440690541966,7.959552552433573,1.0,2.999156003424962,2.999156003424962,2.9887145659800005,1.0,0.498046875,5,0011,0.9989888138108394,True,True,True,55016,42,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.959753768410776,0.994969221051347,7.959753768410776,1.0,2.999640632243591,2.999640632243591,2.9977724465575912,1.0,0.49951171875,4,0101,0.9989938442102695,True,True,True,55017,43,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.959268724316796,0.9949085905395995,7.959268724316796,1.0,2.999519039391886,2.999519039391886,2.9929681430868924,1.0,0.4967041015625,5,0011,0.9989817181079199,True,True,True,55018,44,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.952863243861943,0.9941079054827429,7.952863243861943,1.0,2.998818864291404,2.998818864291404,2.9888265642859837,1.0,0.494384765625,2,0110,0.9988215810965486,True,True,True,55019,45,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.956749126589815,0.9945936408237269,7.956749126589815,1.0,2.999043072673016,2.999043072673016,2.992571281179586,1.0,0.503662109375,4,0101,0.9989187281647455,True,True,True,55020,46,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.955843418506841,0.9944804273133552,7.955843418506841,1.0,2.9994609117573137,2.9994609117573137,2.9943414767316554,1.0,0.5013427734375,2,0110,0.9988960854626711,True,True,True,55021,47,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.958748778696636,0.9948435973370795,7.958748778696636,1.0,2.99790095844902,2.99790095844902,2.9885788891390135,1.0,0.5020751953125,4,0101,0.9989687194674159,True,True,True,55022,48,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.959899208035491,0.9949874010044364,7.959899208035491,1.0,2.9991015816168756,2.9991015816168756,2.9900332138785144,1.0,0.5028076171875,4,0101,0.9989974802008873,True,True,True,55023,49,sweep
